name,osm_id,county,distance_miles,highway_type,surface,difficulty,ref,num_coordinates
Trail 957708730,957708730,Unknown,0.213,track,unknown,grade4,,10
Trail 1188153942,1188153942,Unknown,0.213,path,unknown,unknown,,34
Trail 1196606274,1196606274,Unknown,0.213,track,unknown,unknown,,20
Trail 1388943666,1388943666,Unknown,0.213,track,compacted,unknown,,31
Burgess Loop,16598582,Haywood,0.212,track,unknown,unknown,,15
Wolf Branch Road,271670191,Unknown,0.212,track,unknown,unknown,,18
Trail 464555908,464555908,Unknown,0.212,path,unknown,unknown,,22
Rocky Top Road,759296741,Cocke,0.212,track,unknown,grade2,FS 402,9
Horse Creek Road,985367123,Unknown,0.212,track,unpaved,grade2,FS 94,17
Sheperd Creek Road,1056333890,Macon,0.212,track,unpaved,unknown,,10
Trail 1288200107,1288200107,Unknown,0.212,footway,concrete,unknown,,14
Trail 1299457155,1299457155,Unknown,0.212,footway,unknown,unknown,,14
Trail 1410703727,1410703727,Unknown,0.212,path,unknown,unknown,,46
Memminger Trail Loop,326475498,Unknown,0.211,footway,unpaved,unknown,,23
Trail 364222232,364222232,Unknown,0.211,footway,unknown,unknown,,28
Trail 492377444,492377444,Unknown,0.211,track,unknown,unknown,,17
Trail 993293825,993293825,Unknown,0.211,footway,unpaved,unknown,,18
Trail 1263756696,1263756696,Unknown,0.211,track,unknown,unknown,,19
Mountains-to-Sea Trail Connector,125688803,Unknown,0.21,path,unknown,unknown,,30
Trail 271782276,271782276,Unknown,0.21,track,unknown,unknown,,23
Trail 452768357,452768357,Henderson,0.21,track,gravel,grade2,,28
High Falls Trail,484940828,Unknown,0.21,footway,gravel,unknown,,31
Trail 609087115,609087115,Unknown,0.21,footway,paved,unknown,,18
Trail 868486301,868486301,Unknown,0.21,track,unknown,unknown,,19
Trail 1420082333,1420082333,Unknown,0.21,track,unknown,unknown,,12
Edna Trace,16590339,Haywood,0.209,track,unknown,unknown,,23
Trail 16600170,16600170,Henderson,0.209,track,unknown,unknown,,9
Piney Oak Hills Circle,16624986,Henderson,0.209,track,unknown,unknown,,15
Craggy Gardens Trail,98261248,Buncombe,0.209,path,unknown,unknown,,35
Trail 618023918,618023918,Unknown,0.209,track,ground,unknown,,20
Trail 654360165,654360165,Unknown,0.209,footway,asphalt,unknown,,36
Trail 679544964,679544964,Unknown,0.209,footway,paved,unknown,,52
Calico Lake Drive,694649613,Unknown,0.209,track,unknown,unknown,,30
Trail 1069949995,1069949995,Unknown,0.209,path,unknown,unknown,,21
Trail 1110907384,1110907384,Unknown,0.209,track,unknown,unknown,,11
Trail 1155638874,1155638874,Unknown,0.209,track,unknown,unknown,,13
Trail 1161199181,1161199181,Unknown,0.209,track,ground,unknown,FS 4650A,20
Trail 1232954853,1232954853,Unknown,0.209,track,unknown,unknown,,13
Trail 1234623866,1234623866,Unknown,0.209,path,unknown,unknown,,15
Trail 1263891463,1263891463,Unknown,0.209,track,unknown,unknown,,21
Trail 1286706254,1286706254,Unknown,0.209,footway,concrete,unknown,,16
Rattlesnake Trail,430789109,Unknown,0.208,path,ground,mountain_hiking,,51
Trail 688799134,688799134,Unknown,0.208,footway,unknown,unknown,,27
Trail 917853496,917853496,Unknown,0.208,path,unknown,unknown,,33
Trail 1259505591,1259505591,Unknown,0.208,footway,asphalt,unknown,,51
Park Road,16784714,Transylvania,0.207,track,unknown,unknown,,50
Trail 355745905,355745905,Unknown,0.207,path,unknown,unknown,,17
Silvermine Road,672349744,Madison,0.207,track,gravel,grade1,FS 162,14
Trail 744092511,744092511,Unknown,0.207,path,unknown,unknown,,40
Trail 902808470,902808470,Unknown,0.207,path,unknown,unknown,,18
Trail 1294612837,1294612837,Unknown,0.207,footway,unknown,unknown,,27
Trail 1355443202,1355443202,Unknown,0.207,path,unknown,unknown,,23
Trail 1420082361,1420082361,Unknown,0.207,path,unknown,unknown,,30
Old Trestle Road,16428461,Buncombe,0.206,track,unknown,unknown,,31
Trail 16780647,16780647,Transylvania,0.206,track,unpaved,unknown,,11
Railgrade (old),636041116,Unknown,0.206,path,unknown,unknown,,19
Trail 745021902,745021902,Unknown,0.206,footway,unknown,unknown,,23
Trail 1338977034,1338977034,Unknown,0.206,footway,unknown,unknown,,13
Falls Road,16595572,Haywood,0.205,track,unknown,grade3,,33
Trail 16782120,16782120,Transylvania,0.205,track,unknown,unknown,,18
